symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,197,toyota,gas,std,two,hatchback,rwd,front,10290,18350,6770,5200,2976,dohc,six,171,mpfi,3.27,3.35,930,161,5200,20,24,16558$
3,197,toyota,gas,std,two,hatchback,rwd,front,10290,18350,6770,5200,3016,dohc,six,171,mpfi,3.27,3.35,930,161,5200,19,24,15998$
-1,90,toyota,gas,std,four,sedan,rwd,front,10450,18780,6650,5410,3131,dohc,six,171,mpfi,3.27,3.35,920,156,5200,20,24,15690$
-1,?,toyota,gas,std,four,wagon,rwd,front,10450,18780,6650,5410,3151,dohc,six,161,mpfi,3.27,3.35,920,156,5200,19,24,15750$
2,122,volkswagen,diesel,std,two,sedan,fwd,front,9730,17170,6550,5570,2261,ohc,four,97,idi,3.01,3.40,2300,52,4800,37,46,7775$
2,122,volkswagen,gas,std,two,sedan,fwd,front,9730,17170,6550,5570,2209,ohc,four,109,mpfi,3.19,3.40,900,85,5250,27,34,7975$
2,94,volkswagen,diesel,std,four,sedan,fwd,front,9730,17170,6550,5570,2264,ohc,four,97,idi,3.01,3.40,2300,52,4800,37,46,7995$
2,94,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2212,ohc,four,109,mpfi,3.19,3.40,900,85,5250,27,34,8195$
2,94,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2275,ohc,four,109,mpfi,3.19,3.40,900,85,5250,27,34,8495$
2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,9730,17170,6550,5570,2319,ohc,four,97,idi,3.01,3.40,2300,68,4500,37,42,9495$
2,94,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2300,ohc,four,109,mpfi,3.19,3.40,1000,100,5500,26,32,9995$
3,?,volkswagen,gas,std,two,convertible,fwd,front,9450,15930,6420,5560,2254,ohc,four,109,mpfi,3.19,3.40,850,90,5500,24,29,11595$
3,256,volkswagen,gas,std,two,hatchback,fwd,front,9450,16570,6400,5140,2221,ohc,four,109,mpfi,3.19,3.40,850,90,5500,24,29,9980$
0,?,volkswagen,gas,std,four,sedan,fwd,front,10040,18020,6690,5510,2661,ohc,five,136,mpfi,3.19,3.40,850,110,5500,19,24,13295$
0,?,volkswagen,diesel,turbo,four,sedan,fwd,front,10040,18020,6690,5510,2579,ohc,four,97,idi,3.01,3.40,2300,68,4500,33,38,13845$
0,?,volkswagen,gas,std,four,wagon,fwd,front,10040,18310,6690,5510,2563,ohc,four,109,mpfi,3.19,3.40,900,88,5500,25,31,12290$
-2,103,volvo,gas,std,four,sedan,rwd,front,10430,18880,6720,5620,2912,ohc,four,141,mpfi,3.78,3.15,950,114,5400,23,28,12940$
-1,74,volvo,gas,std,four,wagon,rwd,front,10430,18880,6720,5750,3034,ohc,four,141,mpfi,3.78,3.15,950,114,5400,23,28,12421€
-2,103,volvo,gas,std,four,sedan,rwd,front,10430,18880,6720,5620,2935,ohc,four,141,mpfi,3.78,3.15,950,114,5400,24,28,15985$
-1,74,volvo,gas,std,four,wagon,rwd,front,10430,18880,6720,5750,3042,ohc,four,141,mpfi,3.78,3.15,950,114,5400,24,28,15292€
-2,103,volvo,gas,turbo,four,sedan,rwd,front,10430,18880,6720,5620,3045,ohc,four,130,mpfi,3.62,3.15,750,162,5100,17,22,18420$
-1,74,volvo,gas,turbo,four,wagon,rwd,front,10430,18880,6720,5750,3157,ohc,four,130,mpfi,3.62,3.15,750,162,5100,17,22,18950$
-1,95,volvo,gas,std,four,sedan,rwd,front,10910,18880,6890,5550,2952,ohc,four,141,mpfi,3.78,3.15,950,114,5400,23,28,15597€
-1,95,volvo,gas,turbo,four,sedan,rwd,front,10910,18880,6880,5550,3049,ohc,four,141,mpfi,3.78,3.15,870,160,5300,19,25,19045$
-1,95,volvo,gas,std,four,sedan,rwd,front,10910,18880,6890,5550,3012,ohcv,six,173,mpfi,3.58,2.87,880,134,5500,18,23,21485$
-1,95,volvo,diesel,turbo,four,sedan,rwd,front,10910,18880,6890,5550,3217,ohc,six,145,idi,3.01,3.40,2300,106,4800,26,27,22470$
-1,95,volvo,gas,turbo,four,sedan,rwd,front,10910,18880,6890,5550,3062,ohc,four,141,mpfi,3.78,3.15,950,114,5400,19,25,22625$
2,192,bmw,gas,std,two,sedan,rwd,front,10120,17680,6480,5430,2395,ohc,four,108,mpfi,3.50,2.80,880,101,5800,23,29,16430$
0,192,bmw,gas,std,four,sedan,rwd,front,10120,17680,6480,5430,2395,ohc,four,108,mpfi,3.50,2.80,880,101,5800,23,29,16925$
0,188,bmw,gas,std,two,sedan,rwd,front,10120,17680,6480,5430,2710,ohc,six,164,mpfi,3.31,3.19,900,121,4250,21,28,20970$
0,188,bmw,gas,std,four,sedan,rwd,front,10120,17680,6480,5430,2765,ohc,six,164,mpfi,3.31,3.19,900,121,4250,21,28,21105$
1,?,bmw,gas,std,four,sedan,rwd,front,10350,18900,6690,5570,3055,ohc,six,164,mpfi,3.31,3.19,900,121,4250,20,25,24565$
0,?,bmw,gas,std,four,sedan,rwd,front,10350,18900,6690,5570,3230,ohc,six,209,mpfi,3.62,3.39,800,182,5400,16,22,30760$
0,?,bmw,gas,std,two,sedan,rwd,front,10350,19380,6790,5370,3380,ohc,six,209,mpfi,3.62,3.39,800,182,5400,16,22,41315$
0,?,bmw,gas,std,four,sedan,rwd,front,11000,19700,7090,5630,3505,ohc,six,209,mpfi,3.62,3.39,800,182,5400,15,20,34148€
2,121,chevrolet,gas,std,two,hatchback,fwd,front,8840,14110,6030,5320,1488,l,three,61,2bbl,2.91,3.03,950,48,5100,47,53,5151$
-1,65,toyota,diesel,turbo,four,sedan,fwd,front,10240,17560,6650,5490,2480,ohc,four,110,idi,3.27,3.35,2250,73,4500,30,33,10698$
-1,65,toyota,gas,std,four,hatchback,fwd,front,10240,17560,6650,5390,2414,ohc,four,122,mpfi,3.31,3.54,870,92,4200,27,32,9988$
-1,65,toyota,gas,std,four,sedan,fwd,front,10240,17560,6650,5490,2414,ohc,four,122,mpfi,3.31,3.54,870,92,4200,27,32,10898$
-1,65,toyota,gas,std,four,hatchback,fwd,front,10240,17560,6650,5390,2458,ohc,four,122,mpfi,3.31,3.54,870,92,4200,27,32,11248$
3,197,toyota,gas,std,two,hatchback,rwd,front,10290,18350,6770,5200,2976,dohc,six,171,mpfi,3.27,3.35,930,161,5200,20,24,16558$
3,197,toyota,gas,std,two,hatchback,rwd,front,10290,18350,6770,5200,3016,dohc,six,171,mpfi,3.27,3.35,930,161,5200,19,24,15998$
-1,90,toyota,gas,std,four,sedan,rwd,front,10450,18780,6650,5410,3131,dohc,six,171,mpfi,3.27,3.35,920,156,5200,20,24,15690$
-1,?,toyota,gas,std,four,wagon,rwd,front,10450,18780,6650,5410,3151,dohc,six,161,mpfi,3.27,3.35,920,156,5200,19,24,15750$
2,122,volkswagen,diesel,std,two,sedan,fwd,front,9730,17170,6550,5570,2261,ohc,four,97,idi,3.01,3.40,2300,52,4800,37,46,7775$
2,122,volkswagen,gas,std,two,sedan,fwd,front,9730,17170,6550,5570,2209,ohc,four,109,mpfi,3.19,3.40,900,85,5250,27,34,7975$
2,94,volkswagen,diesel,std,four,sedan,fwd,front,9730,17170,6550,5570,2264,ohc,four,97,idi,3.01,3.40,2300,52,4800,37,46,7995$
2,94,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2212,ohc,four,109,mpfi,3.19,3.40,900,85,5250,27,34,8195$
2,94,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2275,ohc,four,109,mpfi,3.19,3.40,900,85,5250,27,34,8495$
2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,9730,17170,6550,5570,2319,ohc,four,97,idi,3.01,3.40,2300,68,4500,37,42,9495$
